"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource"
2019-09-08 13:20:42,-17.3927,-178.7822,539.75,4.3,"mb",NA,109,3.039,0.54,"us","us70005h4h","2019-11-30T19:36:13.040Z","223km ESE of Lambasa, Fiji","earthquake",15.2,10.4,0.093,33,"reviewed","us","us"
2019-08-30 09:00:57,-17.5746,-178.4631,613.09,4.1,"mb",NA,78,3.265,0.83,"us","us70005cbt","2019-11-15T17:20:28.040Z","262km ESE of Lambasa, Fiji","earthquake",13.7,9.2,0.123,18,"reviewed","us","us"
2019-08-29 12:03:47,-17.1223,-178.6529,556.58,4,"mb",NA,167,2.845,0.53,"us","us70005bxy","2019-11-15T17:20:03.040Z","223km ESE of Lambasa, Fiji","earthquake",20.4,15.3,0.144,15,"reviewed","us","us"
2019-08-29 08:41:31,-15.9172,179.8868,529.84,4.1,"mb",NA,134,2.502,0.87,"us","us70005bxs","2019-11-15T17:19:58.040Z","77km NE of Lambasa, Fiji","earthquake",15.2,8.2,0.135,15,"reviewed","us","us"
2019-08-27 20:52:13,-17.5924,-178.8692,538.86,4.3,"mb",NA,89,2.938,0.66,"us","us70005bgy","2019-11-15T17:18:58.040Z","227km SE of Lambasa, Fiji","earthquake",18.4,13.2,0.154,14,"reviewed","us","us"
2019-08-25 23:37:28,-17.931,-178.4631,594.7,4.2,"mb",NA,122,3.323,1.02,"us","us70005a8m","2019-11-08T22:13:55.040Z","283km SE of Lambasa, Fiji","earthquake",14.4,8,0.087,37,"reviewed","us","us"
2019-08-25 03:02:37,-17.8531,178.2827,487.62,4.4,"mb",NA,171,0.244,0.71,"us","us70005a7x","2019-11-08T22:13:54.040Z","36km NNW of Suva, Fiji","earthquake",20.6,12.7,0.149,13,"reviewed","us","us"
2019-08-23 17:22:59,-17.4606,-178.6486,543.81,4.5,"mb",NA,70,3.158,0.94,"us","us700057lx","2019-11-08T22:13:44.040Z","239km ESE of Lambasa, Fiji","earthquake",10.1,6.2,0.039,203,"reviewed","us","us"
2019-08-22 17:03:53,-17.5634,-178.5062,533.51,4.2,"mb",NA,71,3.258,0.89,"us","us7000597h","2019-11-08T22:13:52.040Z","258km ESE of Lambasa, Fiji","earthquake",13.9,7.4,0.071,56,"reviewed","us","us"
2019-08-22 15:29:57,-17.6567,-178.59,535.99,4.8,"mb",NA,37,3.201,0.84,"us","us70005745","2019-11-08T22:13:40.040Z","255km ESE of Lambasa, Fiji","earthquake",9.7,2,0.026,452,"reviewed","us","us"
2019-08-14 19:46:49,-18.1159,-178.3723,591.03,4.2,"mb",NA,75,3.423,0.75,"us","us6000554y","2019-11-02T15:26:05.040Z","282km N of Ndoi Island, Fiji","earthquake",14.1,8.6,0.057,86,"reviewed","us","us"
2019-08-13 18:14:52,-17.5195,-178.9119,546.43,4.4,"mb",NA,82,2.903,0.79,"us","us600057it","2019-11-02T15:26:19.040Z","218km SE of Lambasa, Fiji","earthquake",11.5,7.5,0.088,40,"reviewed","us","us"
2019-08-13 02:36:27,-17.5223,-178.7737,540.22,4.5,"mb",NA,91,3.034,0.77,"us","us600057ib","2019-11-02T15:26:18.040Z","231km ESE of Lambasa, Fiji","earthquake",13.8,12.9,0.113,23,"reviewed","us","us"
2019-08-12 21:05:47,-17.4532,-178.9488,547.82,4,"mb",NA,100,2.874,0.67,"us","us6000570t","2019-10-29T20:34:09.040Z","211km ESE of Lambasa, Fiji","earthquake",15.6,8.5,0.09,33,"reviewed","us","us"
2019-08-11 07:20:59,-17.8666,-178.5164,580.04,4.4,"mb",NA,84,3.27,0.86,"us","us600053na","2019-10-29T20:33:58.040Z","275km SE of Lambasa, Fiji","earthquake",13.5,7.5,0.085,40,"reviewed","us","us"
2019-08-10 11:24:27,-17.7024,-178.5152,571.4,4,"mb",NA,89,3.271,0.86,"us","us60005611","2019-10-29T20:33:54.040Z","265km ESE of Lambasa, Fiji","earthquake",11.6,16.3,0.134,15,"reviewed","us","us"
2019-08-05 03:18:42,-17.6531,-178.6451,576.27,4.1,"mb",NA,173,3.149,0.74,"us","us600054lv","2019-10-19T21:42:21.040Z","250km ESE of Lambasa, Fiji","earthquake",14.3,10,0.068,59,"reviewed","us","us"
2019-08-01 06:59:45,-17.7825,-178.59,570.15,4.3,"mb",NA,120,3.199,0.56,"us","us60004yfp","2019-10-19T21:42:03.040Z","263km SE of Lambasa, Fiji","earthquake",14,9.2,0.078,47,"reviewed","us","us"
2019-08-01 03:23:49,-17.7334,-178.6635,549.4,4.4,"mb",NA,81,3.129,0.82,"us","us600052t2","2019-10-19T21:42:18.040Z","253km SE of Lambasa, Fiji","earthquake",15,9.3,0.103,27,"reviewed","us","us"
2019-07-31 11:41:39,-17.9352,-178.6069,546.05,4.3,"mb",NA,86,3.187,0.91,"us","us60004xwz","2019-10-19T21:42:01.040Z","271km SE of Lambasa, Fiji","earthquake",15.5,8.9,0.103,27,"reviewed","us","us"
2019-07-30 08:34:15,-17.9361,-178.9958,577.44,4.4,"mb",NA,121,2.817,0.72,"us","us60004xbr","2019-10-19T21:41:59.040Z","240km SE of Lambasa, Fiji","earthquake",15.5,8.1,0.097,31,"reviewed","us","us"
2019-07-27 22:00:42,-16.744,-179.5411,520.49,4.6,"mb",NA,46,2.505,0.87,"us","us60004wla","2019-10-11T20:12:43.040Z","120km ESE of Lambasa, Fiji","earthquake",11.2,6.2,0.044,153,"reviewed","us","us"
2019-07-21 21:56:11,-17.8763,-178.4841,587.31,4.3,"mb",NA,79,3.301,0.7,"us","us70004q7p","2019-10-04T16:37:34.040Z","278km SE of Lambasa, Fiji","earthquake",14.3,7.1,0.05,113,"reviewed","us","us"
2019-07-17 13:25:37,-17.5639,-178.476,547.39,4.3,"mb",NA,78,3.255,0.52,"us","us60004vf8","2019-10-04T16:37:08.040Z","260km ESE of Lambasa, Fiji","earthquake",6.9,9.8,0.111,23,"reviewed","us","us"
2019-07-13 06:25:19,-17.9187,-178.4443,599.71,4.2,"mb",NA,89,3.341,0.43,"us","us70004qla","2019-09-28T20:01:31.040Z","284km SE of Lambasa, Fiji","earthquake",12.2,9.5,0.125,18,"reviewed","us","us"
2019-07-13 06:16:43,-17.8682,-178.5037,600.13,4.4,"mb",NA,84,3.282,0.65,"us","us70004jh4","2019-09-28T20:01:18.040Z","276km SE of Lambasa, Fiji","earthquake",13.3,4.7,0.06,79,"reviewed","us","us"
2019-07-06 06:27:03,-18.5797,176.5119,10,5,"mb",NA,119,1.684,0.78,"us","us70004byv","2019-09-26T14:30:34.040Z","128km SW of Nadi, Fiji","earthquake",3.1,1.9,0.092,38,"reviewed","us","us"
2019-06-30 13:33:05,-17.2181,-179.0897,550.52,4.3,"mb",NA,151,2.777,0.42,"us","us70004gu7","2019-09-14T16:08:37.040Z","185km ESE of Lambasa, Fiji","earthquake",17.4,11.1,0.117,21,"reviewed","us","us"
2019-06-29 18:46:00,-17.7539,-178.5537,540.71,4.2,"mb",NA,139,3.233,0.73,"us","us70004fwd","2019-09-14T16:08:35.040Z","264km SE of Lambasa, Fiji","earthquake",11.7,6.2,0.096,35,"reviewed","us","us"
2019-06-28 02:11:17,-17.3072,-178.4194,459.83,4.4,"mb",NA,168,24.637,1.03,"us","us70004evl","2019-09-14T16:08:34.040Z","254km ESE of Lambasa, Fiji","earthquake",15.7,9.1,0.109,24,"reviewed","us","us"
2019-06-26 17:24:21,-18.1553,-178.3932,493.34,4.3,"mb",NA,214,3.407,0.92,"us","us70004b69","2019-09-14T16:08:32.040Z","278km N of Ndoi Island, Fiji","earthquake",12.7,11.7,0.114,22,"reviewed","us","us"
2019-06-25 07:54:34,-17.3759,-178.8363,561.44,4.3,"mb",NA,80,2.99,0.53,"us","us700049yj","2019-09-14T16:08:30.040Z","217km ESE of Lambasa, Fiji","earthquake",13.8,9.8,0.1,28,"reviewed","us","us"
2019-06-24 23:37:21,-18.7416,-178.3605,606,4.6,"mb",NA,101,3.549,1.05,"us","us700049f0","2019-09-11T15:19:45.040Z","214km N of Ndoi Island, Fiji","earthquake",13.5,12.3,0.165,11,"reviewed","us","us"
2019-06-23 13:23:09,-16.3937,177.538,10,4.7,"mb",NA,67,1.431,0.8,"us","us600044uz","2019-09-11T15:19:37.040Z","135km N of Lautoka, Fiji","earthquake",4.3,1.9,0.073,56,"reviewed","us","us"
2019-06-22 05:31:19,-18.6958,179.5254,579.68,4.2,"mb",NA,135,1.689,0.51,"us","us700046sy","2019-09-11T15:19:29.040Z","129km ESE of Suva, Fiji","earthquake",15.1,8.2,0.146,13,"reviewed","us","us"
2019-06-20 01:40:30,-18.2425,-178.3851,608.44,4.4,"mb",NA,164,3.425,1,"us","us700046nf","2019-09-11T15:19:17.040Z","268km N of Ndoi Island, Fiji","earthquake",13.2,8.8,0.105,26,"reviewed","us","us"
2019-06-16 14:59:16,-17.5229,-178.6349,558.71,4.3,"mb",NA,90,3.166,1.27,"us","us600044bc","2019-09-06T14:25:27.040Z","243km ESE of Lambasa, Fiji","earthquake",14.7,11.5,0.137,15,"reviewed","us","us"
2019-06-13 18:45:56,-17.6942,-178.3883,581.56,4.2,"mb",NA,96,3.377,0.49,"us","us600043kv","2019-09-06T14:25:21.040Z","276km ESE of Lambasa, Fiji","earthquake",14.1,15.2,0.14,14,"reviewed","us","us"
2019-06-12 02:49:52,-17.8142,-178.4063,589.52,4.1,"mb",NA,167,3.374,0.31,"us","us600042ia","2019-09-06T14:25:20.040Z","281km SE of Lambasa, Fiji","earthquake",15.9,8.8,0.151,12,"reviewed","us","us"
2019-06-11 18:39:04,-17.5999,-179.269,560.81,4.2,"mb",NA,114,2.557,0.6,"us","us600042fi","2019-09-06T14:25:19.040Z","194km SE of Lambasa, Fiji","earthquake",20.7,10.2,0.147,13,"reviewed","us","us"
